timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,magnetometer_timestamp_relative,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],baro_timestamp_relative,baro_alt_meter,baro_temp_celcius
574850877,-0.05516102,-0.011191978,0.035540313,4000,0,0.34877187,1.0642873,-9.434423,4000,-8874,-0.1179307,-0.1912902,0.32397947,-5829,-52.890724,42.41
574854877,0.07982445,-0.003992126,0.021524383,4000,0,-0.75583273,-0.52989006,-9.883826,4000,-12874,-0.1179307,-0.1912902,0.32397947,-9829,-52.890724,42.41
574858877,-0.012978925,0.025681606,0.022584664,4000,0,0.118926436,-0.3457273,-10.460842,4000,-16874,-0.1179307,-0.1912902,0.32397947,-2541,-52.9735,42.41
574862877,-0.10336318,-0.007819509,0.028002514,4000,0,0.91659,0.817704,-9.498471,4000,-20874,-0.1179307,-0.1912902,0.32397947,-6541,-52.9735,42.41
574866877,0.052806504,0.008110727,0.016529202,4000,0,-0.45461053,-0.027750064,-9.563416,4000,-2872,-0.15846007,-0.18628252,0.32616028,-10541,-52.9735,42.41
574870877,0.039862078,0.010249856,0.0019469325,4000,0,-0.35349816,-0.50217557,-10.314549,4000,-6872,-0.15846007,-0.18628252,0.32616028,-2868,-53.13904,42.41
574874877,-0.10435513,0.013775884,0.007576325,4000,0,1.2186373,0.52418786,-9.768217,4000,-10872,-0.15846007,-0.18628252,0.32616028,-6868,-53.13904,42.41
574878877,0.0030678504,-0.0017214144,-0.007389717,4000,0,-0.08079467,0.5806635,-9.37826,4000,-14872,-0.15846007,-0.18628252,0.32616028,-10868,-53.13904,42.41
574882877,0.074937284,-0.0021632093,-0.021247193,4000,0,-0.5857985,-0.5912948,-10.093505,4000,-18872,-0.15846007,-0.18628252,0.32616028,-14868,-53.13904,42.41
574886877,-0.06907535,0.022497542,-0.012631244,4000,0,0.7847115,0.31153697,-10.232107,4000,-22872,-0.15846007,-0.18628252,0.32616028,-18868,-53.13904,42.41
574890877,-0.056726858,-0.009034616,-0.01787474,4000,0,0.3702834,1.1811413,-9.387852,4000,-2877,-0.12631609,-0.18878634,0.3327028,-873,-52.393433,42.399998
574894877,0.09337073,-0.0030983351,-0.029620752,4000,0,-0.57924205,-0.4488425,-9.860613,4000,-6877,-0.12631609,-0.18878634,0.3327028,-4873,-52.393433,42.399998
574898877,-0.012967822,0.025822781,-0.021051409,4000,0,0.19667405,-0.2177335,-10.532691,4000,-10877,-0.12631609,-0.18878634,0.3327028,-8873,-52.393433,42.399998
574902877,-0.10167221,-0.009439702,-0.00576,4000,0,0.8628637,1.0967926,-9.516449,4000,-14877,-0.12631609,-0.18878634,0.3327028,-1466,-52.80795,42.399998
574906877,0.07226817,0.006156965,-0.012043654,4000,0,-0.38978693,-0.036853846,-9.622082,4000,-18877,-0.12631609,-0.18878634,0.3327028,-5466,-52.80795,42.399998
574910877,0.039918955,0.012048626,-0.007302395,4000,0,-0.3293685,-0.5543879,-10.355478,4000,-1879,-0.1179307,-0.18002291,0.32506987,-9466,-52.80795,42.399998
574914877,-0.111077994,0.003665709,0.014426827,4000,0,1.0223595,0.6932193,-9.769485,4000,-5879,-0.1179307,-0.18002291,0.32506987,-2873,-52.80795,42.399998
574918877,0.012903034,0.00036733167,0.014706714,4000,0,-0.22463584,0.56584215,-9.274265,4000,-9879,-0.1179307,-0.18002291,0.32506987,-6873,-52.80795,42.399998
574922877,0.069212474,-0.005841232,0.0101858815,4000,0,-0.72566,-0.58452594,-10.06703,4000,-13879,-0.1179307,-0.18002291,0.32506987,-10873,-52.80795,42.399998
574926877,-0.06405073,0.017846558,0.026689451,4000,0,0.76052564,0.18861526,-10.221804,4000,-17879,-0.1179307,-0.18002291,0.32506987,-14873,-52.80795,42.399998
574930877,-0.04758705,-0.0039198166,0.03033704,4000,0,0.17267306,0.96291214,-9.437592,4000,-21879,-0.1179307,-0.18002291,0.32506987,-18873,-52.80795,42.399998
