timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
220074740,220074740,7,255,0,0,0,1499,1504,1435,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
220271094,220271094,7,255,0,0,0,1499,1504,1445,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
220471450,220471450,7,255,0,0,0,1499,1504,1458,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
220671549,220671549,7,255,0,0,0,1499,1504,1466,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
220891535,220891535,7,255,0,0,0,1499,1504,1472,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
221087535,221087535,7,255,0,0,0,1499,1504,1477,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
221292332,221292332,7,255,0,0,0,1499,1504,1477,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
221496587,221496587,7,255,0,0,0,1499,1504,1477,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
221700332,221700332,7,255,0,0,0,1499,1504,1477,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
221900320,221900320,7,255,0,0,0,1499,1504,1477,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
222096310,222096310,7,255,0,0,0,1499,1504,1477,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
222297150,222297150,7,255,0,0,0,1499,1504,1477,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
222517057,222517057,7,255,0,0,0,1499,1504,1477,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
222697122,222697122,7,255,0,0,0,1499,1504,1477,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
222909116,222909116,7,255,0,0,0,1499,1504,1477,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
223105944,223105944,7,255,0,0,0,1499,1504,1477,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
223309930,223309930,7,255,0,0,0,1499,1504,1477,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
223517846,223517846,7,255,0,0,0,1499,1504,1477,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
223725848,223725848,7,255,0,0,0,1499,1504,1477,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
223926740,223926740,7,255,0,0,0,1499,1504,1476,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
224138769,224138769,7,255,0,0,0,1499,1504,1476,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
224342972,224342972,7,255,0,0,0,1499,1504,1477,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
224526759,224526759,7,255,0,0,0,1499,1504,1477,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
224742645,224742645,7,255,0,0,0,1499,1504,1477,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
224935444,224935444,7,255,0,0,0,1499,1504,1477,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
225155447,225155447,7,255,0,0,0,1499,1504,1477,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
225359447,225359447,7,255,0,0,0,1499,1504,1477,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
225539516,225539516,7,255,0,0,0,1499,1504,1483,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
225760330,225760330,7,255,0,0,0,1499,1504,1496,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
225968394,225968394,7,255,0,0,0,1499,1504,1497,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
226164332,226164332,7,255,0,0,0,1499,1504,1508,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
226368321,226368321,7,255,0,0,0,1499,1504,1512,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
226568325,226568325,7,255,0,0,0,1499,1504,1522,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
226769052,226769052,7,255,0,0,0,1499,1504,1531,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
226981155,226981155,7,255,0,0,0,1499,1504,1541,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
227185139,227185139,7,255,0,0,0,1499,1504,1547,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
227369400,227369400,7,255,0,0,0,1499,1504,1557,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
227573966,227573966,7,255,0,0,0,1499,1504,1564,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
227785845,227785845,7,255,0,0,0,1499,1504,1564,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
227993926,227993926,7,255,0,0,0,1499,1504,1570,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
228193845,228193845,7,255,0,0,0,1499,1504,1570,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
228390647,228390647,7,255,0,0,0,1499,1504,1570,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
228594991,228594991,7,255,0,0,0,1499,1504,1572,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
228802645,228802645,7,255,0,0,0,1499,1504,1572,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
229002724,229002724,7,255,0,0,0,1499,1504,1572,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
229210740,229210740,7,255,0,0,0,1499,1504,1572,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
229415443,229415443,7,255,0,0,0,1499,1504,1570,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
229599535,229599535,7,255,0,0,0,1499,1504,1570,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
229819802,229819802,7,255,0,0,0,1499,1504,1570,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
230019445,230019445,7,255,0,0,0,1499,1504,1570,1498,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
230208338,230208338,7,255,0,0,0,1499,1504,1570,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
230424366,230424366,7,255,0,0,0,1499,1504,1572,1498,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
230624332,230624332,7,255,0,0,0,1499,1504,1572,1498,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
230820333,230820333,7,255,0,0,0,1499,1504,1592,1498,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
231020326,231020326,7,255,0,0,0,1499,1504,1602,1498,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
231241131,231241131,7,255,0,0,0,1499,1504,1602,1498,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
231441374,231441374,7,255,0,0,0,1499,1504,1607,1498,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
231649051,231649051,7,255,0,0,0,1499,1504,1607,1498,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
231845124,231845124,7,255,0,0,0,1499,1504,1617,1498,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
232037986,232037986,7,255,0,0,0,1499,1504,1617,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
