timestamp,timestamp_received,id,q[0],q[1],q[2],q[3],x,y,z
228924022,228924023,240,-0.70787656,0.0006915499,0.00078751805,-0.7063354,-0.29795417,-3.489971,-0.9994315
229222176,229222176,240,-0.70715636,-0.00022633739,0.00021032862,-0.7070572,-0.29792717,-3.4899414,-0.9994861
229225204,229225204,240,-0.70754087,-0.00037721652,-0.0005877733,-0.7066722,-0.2979467,-3.489946,-0.9995121
229530291,229530291,240,-0.7074866,-0.0005030394,-0.00020633588,-0.70672655,-0.2979531,-3.489921,-0.9995208
229537648,229537648,240,-0.7070961,-0.00038413928,0.00011745543,-0.7071175,-0.2979118,-3.4899569,-0.99949896
229839320,229839321,240,-0.7070764,-0.00010638836,0.00020470504,-0.7071372,-0.2979501,-3.4899182,-0.9995051
229842158,229842158,240,-0.707288,-5.0629773e-05,-2.7265621e-06,-0.7069255,-0.29794037,-3.4899604,-0.99949616
230146629,230146629,240,-0.70729953,-0.0014898038,-0.0014656804,-0.706911,-0.29789603,-3.4899538,-0.99956137
230148352,230148352,240,-0.707453,-0.0017983497,-0.0009892475,-0.7067575,-0.29795977,-3.4899018,-0.99950826
230450547,230450548,240,-0.7076802,-0.0024310315,-0.0020556091,-0.7065257,-0.2979354,-3.4899738,-0.999611
230458598,230458598,240,-0.70726764,-0.0018555381,-0.0011510086,-0.70694256,-0.29797673,-3.4899194,-0.9994757
230759686,230759686,240,-0.7072939,-0.00012939387,0.00053522584,-0.70691943,-0.29802343,-3.4899871,-0.99945974
230768183,230768183,240,-0.7075975,-0.0022417596,-0.0019099371,-0.70660955,-0.29785994,-3.4899573,-0.9996085
231067403,231067404,240,-0.7073554,-0.0004984657,9.302429e-05,-0.70685804,-0.29795146,-3.489909,-0.99949694
231071648,231071648,240,-0.7073868,-0.0016332434,-0.0012093801,-0.70682377,-0.2979036,-3.4899645,-0.99960065
231375325,231375325,240,-0.70730674,-0.00021218971,0.0001117923,-0.7069068,-0.29793188,-3.4899502,-0.99950844
231382081,231382081,240,-0.70724446,-0.00040845218,-0.00021611963,-0.70696896,-0.29796314,-3.4899204,-0.99950606
231683386,231683387,240,-0.708679,0.0016673479,-0.00054158986,-0.705529,-0.29810542,-3.4899013,-0.9994066
231684436,231684437,240,-0.7074445,0.00025261796,0.0009423075,-0.7067682,-0.2979603,-3.4899776,-0.99943733
231987121,231987121,240,-0.7072216,-0.00025196333,9.9074976e-05,-0.706992,-0.29791445,-3.489966,-0.9994962
231997066,231997066,240,-0.7073094,-0.0012809231,-0.0005850684,-0.7069028,-0.2980154,-3.4898832,-0.9994485
232295603,232295604,240,-0.70919055,-0.00073981954,-0.0019134379,-0.70501393,-0.2980342,-3.4899924,-0.9995185
232299572,232299573,240,-0.70727354,-0.00027899395,0.00017697459,-0.70694,-0.2979299,-3.489947,-0.9994921
232603408,232603409,240,-0.707337,4.814588e-05,0.00050434767,-0.70687634,-0.2979587,-3.4899783,-0.9994697
232607509,232607510,240,-0.7073694,-0.0011668968,-0.0007222346,-0.70684284,-0.29796043,-3.4899154,-0.9994467
232911083,232911084,240,-0.7072752,-0.0012052538,-0.0007298608,-0.7069369,-0.29798505,-3.48992,-0.99944985
232913991,232913992,240,-0.7071767,-0.001603852,-0.00063289166,-0.7070349,-0.29794443,-3.4898877,-0.9994655
233220199,233220200,240,-0.70797265,-0.0047288565,-0.00221243,-0.70622057,-0.29784074,-3.4899976,-0.9996434
233225019,233225019,240,-0.7092251,0.0019425658,0.0001604533,-0.7049795,-0.29806343,-3.4900045,-0.99936354
233523242,233523242,240,-0.70731187,-0.0025379695,-0.0019193524,-0.70689464,-0.2979481,-3.48995,-0.9995227
233529014,233529015,240,-0.70711666,-0.00050289545,0.00012672144,-0.70709676,-0.2979471,-3.4899652,-0.9994995
233831380,233831380,240,-0.7075069,-0.0026399049,-0.0015400639,-0.7066999,-0.29793453,-3.4899828,-0.9995853
233837267,233837267,240,-0.7070756,-0.00039511654,0.00024210355,-0.70713776,-0.29793373,-3.4899256,-0.99951226
234140862,234140862,240,-0.70738775,-0.0010601261,-0.00038019786,-0.7068248,-0.29798242,-3.4898887,-0.9994532
234145017,234145017,240,-0.7087549,0.0016895111,-0.0005688551,-0.70545256,-0.2980707,-3.4899232,-0.99940366
234445292,234445293,240,-0.7074197,-0.0011471438,-0.00048774958,-0.7067926,-0.2980073,-3.4898791,-0.9994517
234453300,234453300,240,-0.7070754,-0.00038228487,7.138846e-05,-0.7071381,-0.29795578,-3.4899828,-0.999492
234752164,234752164,240,-0.70727986,-0.00058419275,-8.729699e-05,-0.70693356,-0.2979483,-3.4899395,-0.9994981
234758286,234758287,240,-0.7078009,0.00017435222,0.00044528203,-0.7064119,-0.2979594,-3.4899647,-0.9994597
235061359,235061359,240,-0.7072558,-0.00029649664,0.00014467299,-0.70695776,-0.29793608,-3.489935,-0.9994876
235068022,235068022,240,-0.70723295,-0.0015454602,-0.0013761894,-0.70697755,-0.29788563,-3.4899673,-0.9995497
235677250,235677250,240,-0.7075438,-7.259818e-05,0.00023013595,-0.7066695,-0.29795632,-3.4900088,-0.999463
235679144,235679144,240,-0.7075082,-0.0025844232,-0.0019019152,-0.70669794,-0.2978748,-3.4899302,-0.9996265
235984321,235984321,240,-0.70731187,-0.00020368144,0.00011403533,-0.7069017,-0.29790518,-3.489949,-0.9995047
235988022,235988023,240,-0.7078536,0.00019088948,0.00026369552,-0.7063591,-0.2978955,-3.4899979,-0.9994501
236288347,236288348,240,-0.707143,-0.0005615843,6.3192056e-05,-0.70707035,-0.29795733,-3.489934,-0.9994787
236296016,236296016,240,-0.7070142,-0.0018283853,-0.00082145614,-0.70719653,-0.29795513,-3.48995,-0.9994709
236597377,236597377,240,-0.70730186,-0.00012605255,-0.00017614328,-0.7069117,-0.29794416,-3.4899533,-0.9994872
236603286,236603286,240,-0.70702994,-0.0024792494,-0.0021829791,-0.707176,-0.29791114,-3.4899495,-0.9995414
236905344,236905344,240,-0.7072744,-0.00020188987,3.4837474e-05,-0.70693916,-0.29794478,-3.4899,-0.99947226
236909179,236909179,240,-0.7070168,-0.0014225782,-0.0006761778,-0.707195,-0.29798183,-3.4899435,-0.99945617
