timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
416028171,0,0.0,0.0,-0.2980135,-3.4899507,0.9182582,0.0,0.0,0.0,-0.17889763,-0.02418454,1.0780569,1.0780569,0.0,0.0,0.0,0.0,0.0,0.0,1.5650151,0.0,-0.9182582,-1.0780569,1.0665108,0.7562139,0.0,0.0,0,1,0,1,0,0,0,0,0,0,1
416128176,0,0.0,0.0,-0.2980135,-3.4899507,1.0260179,0.0,0.0,0.0,-0.17889765,-0.02418454,1.0810416,1.0810416,0.0,0.0,0.0,0.0,0.0,0.0,1.5649515,0.0,-1.0260179,-1.0810416,1.1250931,0.79777116,0.0,0.0,0,1,0,1,0,0,0,0,0,0,1
416228218,0,0.0,0.0,-0.2980135,-3.4899507,1.1336749,0.0,0.0,0.0,-0.17889762,-0.02418454,1.0797073,1.0797073,0.0,0.0,0.0,0.0,0.0,0.0,1.5652252,0.0,-1.1336749,-1.0797073,1.1838139,0.8394281,0.0,0.0,0,1,0,1,0,0,0,0,0,0,1
416328244,0,0.0,0.0,-0.2980135,-3.489951,1.2415565,0.0,0.0,0.0,-0.17889765,-0.02418454,1.0635324,1.0635324,0.0,0.0,0.0,0.0,0.0,0.0,1.564489,0.0,-1.2415565,-1.0635324,1.2426419,0.88116264,0.0,0.0,0,1,0,1,0,0,0,0,0,0,1
416428337,0,0.0,0.0,-0.2980135,-3.4899507,1.3492022,0.0,0.0,0.0,-0.17889765,-0.02418454,1.0843594,1.0843594,0.0,0.0,0.0,0.0,0.0,0.0,1.5651867,0.0,-1.3492022,-1.0843594,1.3016258,0.92300946,0.0,0.0,0,1,0,1,0,0,0,0,0,0,1
416528432,0,0.0,0.0,-0.2980135,-3.4899507,1.4560639,0.0,0.0,0.0,-0.17889763,-0.02418454,1.0653841,1.0653841,0.0,0.0,0.0,0.0,0.0,0.0,1.5648481,0.0,-1.4560637,-1.0653841,1.3607275,0.96494126,0.0,0.0,0,1,0,1,0,0,0,0,0,0,1
416628482,0,0.0,0.0,-0.2980135,-3.4899507,1.5609863,0.0,0.0,0.0,-0.17889765,-0.024184538,1.0648122,1.0648122,0.0,0.0,0.0,0.0,0.0,0.0,1.5644109,0.0,-1.5609864,-1.0648122,1.4199191,1.0069385,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
416738524,0,0.0,0.0,-0.2980135,-3.4899507,1.5855746,0.0,0.0,0.0,-0.17889765,-0.02418454,1.0924332,1.0924332,0.0,0.0,0.0,0.0,0.0,0.0,1.5647445,0.0,-1.5855746,-1.0924332,1.4851567,1.0532267,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
416838559,0,0.0,0.0,-0.2980135,-3.4899507,1.5867714,0.0,0.0,0.0,-0.17889765,-0.02418454,1.1284313,1.1284313,0.0,0.0,0.0,0.0,0.0,0.0,1.5650524,0.0,-1.5867714,-1.1284313,1.5445833,1.0953938,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
416938607,0,0.0,0.0,-0.2980135,-3.4899507,1.5868492,0.0,0.0,0.0,-0.17889763,-0.02418454,1.1220148,1.1220148,0.0,0.0,0.0,0.0,0.0,0.0,1.5648874,0.0,-1.5868495,-1.1220148,1.6041336,1.1376501,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
